|Job Title|Location|Date|Link|Job Attributes|Job Description
11|✭✭✭Become a Web Developer. No Experience Needed (Remote)|N/A|Apr  1|https://boston.craigslist.org/gbs/sof/d/boston-become-web-developer-no/7300330242.html|"
compensation: $60,000-$120,000 depending on the company

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


Start your next career in tech by joining Career Karma where we will help you prepare to become a Software Developer and help you get accepted into top Software job training programs. Career Karma is always free.

Average graduate salaries range between $60,000-120,000 per year in Coding, Design, Data Science roles. 

👉How to apply:  fill out this 1 minute form

What is Career Karma?
Career Karma is a free service that helps you explore courses and connect with other students like you, taking online courses to learn new in-demand skills. In less than 30 days, we will help you discover tech careers, prepare and get accepted into top job training programs in Boston.

We’ve helped thousands of people get high paying jobs in less than 12 months. Check out the story of Kesha Lake, who is a mom and music teacher. She joined Career Karma in January 2019 by November 2019, we helped her get a  Remote Software Engineering job making $98,000 working for StitchFix. 

📺Here is a video with our founder Ruben Harris on CNBC explaining how we have helped 100,000 Americans get jobs in technology.


Who is this for:
- Desire to acquire a new high in demand skill (like coding, design, cyber security, data science and analytics, and sales)
- Have a high level of motivation, energy, and attitude


Other highlights:
- No previous experience in technology
- No degree necessary
- No upfront deposit or fees to Join Career Karma. Completely FREE
- No one is too young or too old
- Diverse backgrounds is a plus

👉How to apply:  fill out this 1 minute form



"
12|Mortgage Loan Underwriter|Medford, MA|Apr  1|https://boston.craigslist.org/gbs/sof/d/medford-mortgage-loan-underwriter/7300290359.html|"
compensation: Commensurate with Experience

employment type: full-time

"|"

QR Code Link to This Post


Founded locally in 1969 by Marshall M. Sloane, Century Bank is New England's largest family‐run bank with 27 branches throughout Greater Boston. Today Century Bank is the Bank families and businesses rely on -- a place where you can count on getting personal attention. Whether you need a free checking account, easy online banking or a sophisticated financial solution, you'll find it at Century Bank. For more information, visit www.CenturyBank.com.
Currently, we are searching for enthusiastic individuals to join the Century team!  
Job overview:

 Reporting to the Senior Vice President of Consumer Lending, the candidate for this position analyzes employment profile, credit strength, property characteristics, and all other information pertinent to the credit decision process on each mortgage application.  Underwrites and recommends for approval, denial, suspension or counteroffer, mortgage applications in accordance with established bank strategies, policies and procedures while also ensuring compliance with state and federal regulatory requirements. Maintains a constant working knowledge of portfolio and PMI underwriting guidelines as outlined in the bank’s credit policy manual.  Works closely with processing staff and branch managers to ensure all required documentation is obtained, reviewed and acceptable.
Responsibilities: "
13|Mortgage Loan Closer|Medford, MA|Apr  1|https://boston.craigslist.org/gbs/sof/d/medford-mortgage-loan-closer/7300290139.html|"
compensation: Commensurate with Experience

employment type: full-time

"|"

QR Code Link to This Post


Founded locally in 1969 by Marshall M. Sloane, Century Bank is New England's largest family‐run bank with 27 branches throughout Greater Boston. Today Century Bank is the Bank families and businesses rely on -- a place where you can count on getting personal attention. Whether you need a free checking account, easy online banking or a sophisticated financial solution, you'll find it at Century Bank. For more information, visit www.CenturyBank.com.
Currently, we are searching for enthusiastic individuals to join the Century team!  
Job overview:

The focus of the Mortgage Loan Closer is to coordinate loan closings for purchase and refinance mortgages, home equity lines/loans and HEAT loans in compliance with industry and banking regulations and standards.
Responsibilities: "
14|Junior Items Processing Analyst|Medford|Apr  1|https://boston.craigslist.org/gbs/sof/d/medford-junior-items-processing-analyst/7300288495.html|"
compensation: Commensurate with Experience.

employment type: full-time

"|"

QR Code Link to This Post


Founded locally in 1969 by Marshall M. Sloane, Century Bank is New England's largest family‐run bank with 27 branches throughout Greater Boston. Today Century Bank is the Bank families and businesses rely on -- a place where you can count on getting personal attention. Whether you need a free checking account, easy online banking or a sophisticated financial solution, you'll find it at Century Bank. For more information, visit www.CenturyBank.com.
Currently, we are searching for enthusiastic individuals to join the Century team!  
Job overview:

 Under the direction of the Items Processing Systems Analyst, this individual will help support the Items Processing applications and operations.
Responsibilities: "
15|Data Science Fellowship|N/A|Mar 31|https://boston.craigslist.org/gbs/sof/d/boston-data-science-fellowship/7300007467.html|"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 1000 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosdata&utm_medium=job_board "
16|Product Management Fellowship|N/A|Mar 31|https://boston.craigslist.org/gbs/sof/d/boston-product-management-fellowship/7300007303.html|"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 1000 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosproduct&utm_medium=job_board
"
17|Software Engineering Fellowship|N/A|Mar 31|https://boston.craigslist.org/gbs/sof/d/boston-software-engineering-fellowship/7300006937.html|"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 1000 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosswe&utm_medium=job_board "
18|Looking For Senior/Staff Software Engineer|Remote|Mar 31|https://boston.craigslist.org/gbs/sof/d/boston-looking-for-senior-staff/7299811760.html|"
compensation: Above Market! Highly competitive!

employment type: full-time

"|"

QR Code Link to This Post


Senior Software Engineer with +7 years of professional Experience

- High Volume
- Scalability 
- Unit Testing
- Integration testing
- Stress Testing
- Infrastructure Design
- SOX

Experience in 
Sql
Kafka
Memcache 
Solar
PHP
Python

Experience working in large teams, Sprint/Agile.
Experience leading and overseeing tech initiatives 

Full Benefits, PTO, etc...

Please send me an Updated Resume! 

A summary of your experience, and why you think you can lead/mentor a team of 10-15 Engineers, guide the direction and delivery of small to large scale technical initiatives.    "
19|✭✭✭Become a Web Developer. No Experience Needed (Remote)|N/A|Mar 31|https://boston.craigslist.org/gbs/sof/d/boston-become-web-developer-no/7299696969.html|"
compensation: $60,000-$120,000 depending on the company

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


Start your next career in tech by joining Career Karma where we will help you prepare to become a Software Developer and help you get accepted into top Software job training programs. Career Karma is always free.

Average graduate salaries range between $60,000-120,000 per year in Coding, Design, Data Science roles. 

👉How to apply:  fill out this 1 minute form

What is Career Karma?
Career Karma is a free service that helps you explore courses and connect with other students like you, taking online courses to learn new in-demand skills. In less than 30 days, we will help you discover tech careers, prepare and get accepted into top job training programs in Boston.

We’ve helped thousands of people get high paying jobs in less than 12 months. Check out the story of Kesha Lake, who is a mom and music teacher. She joined Career Karma in January 2019 by November 2019, we helped her get a  Remote Software Engineering job making $98,000 working for StitchFix. 

📺Here is a video with our founder Ruben Harris on CNBC explaining how we have helped 100,000 Americans get jobs in technology.


Who is this for:
- Desire to acquire a new high in demand skill (like coding, design, cyber security, data science and analytics, and sales)
- Have a high level of motivation, energy, and attitude


Other highlights:
- No previous experience in technology
- No degree necessary
- No upfront deposit or fees to Join Career Karma. Completely FREE
- No one is too young or too old
- Diverse backgrounds is a plus

👉How to apply:  fill out this 1 minute form



"
20|Software Engineer|Remote|Mar 30|https://boston.craigslist.org/gbs/sof/d/andover-software-engineer/7299216813.html|"
compensation: To Be Discussed

employment type: full-time

"|"

QR Code Link to This Post



Join Hired and find your dream job as a Software Engineer at one of 10,000+ companies looking for candidates just like you.
This is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as creating the logic, database interactions and server configuration on the application's backend.

Responsibilities Include:

The development and maintenance of client-side and server-side applications.
Working with other web developers as well as marketing teams and engineers to ensure the right look and necessary features are included in your work.
Designing tests that will be implemented to keep software functional.
Stay on top of expanding technologies and engineering trends.



Companies on Hired apply to you, not the other way around. You'll receive salary and compensation details upfront - before the interview - and be able to choose from a variety of industries you're interested in, to find a job You'll love in less than 2 weeks.
To Learn More and Apply: Click Here "
21|✭✭✭Become a Web Developer. No Experience Needed (Remote)|N/A|Mar 30|https://boston.craigslist.org/gbs/sof/d/boston-become-web-developer-no/7299185378.html|"
compensation: $60,000-$120,000 depending on the company

employment type: full-time

telecommuting ok

"|"

QR Code Link to This Post


Start your next career in tech by joining Career Karma where we will help you prepare to become a Software Developer and help you get accepted into top Software job training programs. Career Karma is always free.

Average graduate salaries range between $60,000-120,000 per year in Coding, Design, Data Science roles. 

👉How to apply:  fill out this 1 minute form

What is Career Karma?
Career Karma is a free service that helps you explore courses and connect with other students like you, taking online courses to learn new in-demand skills. In less than 30 days, we will help you discover tech careers, prepare and get accepted into top job training programs in Boston.

We’ve helped thousands of people get high paying jobs in less than 12 months. Check out the story of Kesha Lake, who is a mom and music teacher. She joined Career Karma in January 2019 by November 2019, we helped her get a  Remote Software Engineering job making $98,000 working for StitchFix. 

📺Here is a video with our founder Ruben Harris on CNBC explaining how we have helped 100,000 Americans get jobs in technology.


Who is this for:
- Desire to acquire a new high in demand skill (like coding, design, cyber security, data science and analytics, and sales)
- Have a high level of motivation, energy, and attitude


Other highlights:
- No previous experience in technology
- No degree necessary
- No upfront deposit or fees to Join Career Karma. Completely FREE
- No one is too young or too old
- Diverse backgrounds is a plus

👉How to apply:  fill out this 1 minute form



"
22|VP of Engineering|boston: boston/cambridge/brookline|Mar 29|https://boston.craigslist.org/gbs/sof/d/boston-vp-of-engineering/7299019544.html|"
compensation: Negotiable

employment type: full-time

"|"

QR Code Link to This Post


VP of Engineering  - $200-250k plus bonus100% remoteA leading EdTech SaaS platform for reading literacy is looking for a VP of Engineering to join their team. This is an established organization but with a huge opportunity to make a big impact. They are looking for someone who can help modernize their tech to better align with growing business needs.Your responsibilities:Continue to build out, mentor and lead technical teamDevelop a culture that encourages collaboration and innovationModernize development standards and architectureSupport organization change from a business perspectiveDevelop Engineering Directors and Managers for continuous growthCreate an architecture roadmap to achieve organizational goalsYour experience:Experience building out SaaS web and mobile applicationsExperience driving large technical projects from conception to productionExperience working with Agile/SCRUM teamsAbility to juggle multiple projects in a fast paced, collaborative environmentExcellent communication skills - demonstrated experience working across the business including with C-level executivesThis is a unique opportunity to step into a successful company with impressive market share that is poised for growth and change. This is a great team of highly motivated/collaborative people who are ready to take the company and their products to the next level.Find Us on Facebook!Follow Us on Twitter!Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.Company Profile:Beacon Hill Technologies, a premier National Information Technology Staffing Group, provides world class technology talent across all industries utilizing a complete suite of staffing services.  Beacon Hill Technologies' dedicated team of recruiting and staffing experts consistently delivers quality IT professionals to solve our customers' technical and business needs. Beacon Hill Technologies covers a broad spectrum of IT positions, including Project Management and Business Analysis, Programming/Development, Database, Infrastructure, Quality Assurance, Production/Support and ERP roles.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Life Sciences and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you.Beacon Hill. Employing the Future "
23|FULL STACK DEVELOPER|Rhode Island|Mar 29|https://boston.craigslist.org/bmw/sof/d/warwick-full-stack-developer/7298883871.html|"
compensation: $75K -$90K

employment type: full-time

"|"

QR Code Link to This Post


Full Stack Developer (REGIONAL)   80% REMOTE   20% onsite until JULY 2021
compensation: $75K-$90K
employment type: full-time

Our team is searching for a FULL STACK developer to assist in the development of an internal ERP/WMS/Mobile/Web system. The select candidate will participate in various types of application developments across the entire business process including sales, distribution, production, CRM, accounting, supply chain, and marketing.

The select candidate will work closely with internal teams and outside business partners to drive key elements of the product definition, execution and QA.

Responsibilities include but are not limited to:
-Interpret business requirements
-Design, implement and test n-tier enterprise web, hybrid, and or native applications
-Review, troubleshoot and optimize code level problems quickly and efficiently

Skills Requirements
-4+ years of combined experience working as a Full Stack Developer
-Experience developing and maintaining applications using VB6 and or VB.Net, ASP.net, C#, XML
-Knowledge of and experience with HTML, CSS, SCSS, JavaScript, jQuery, Angular
-Back End development skills and knowledge of relational databases (MSSQL)
-Create prototypes, codes, tests, debugs, documents, and implements systems
-Participate in technical meetings

EDUCATIONAL REQUIREMENTS
-B.S. Computer Engineering, Computer Science or Information Systems

-REMOTE WORK POSSIBLE
-Must be able to work within the office for a two week training period and onboarding period.
-Only Regional Candidates will be considered- RI, MA-CT-NH-VT-MAINE    "
